,Player,2019/20,2019/20(*)
156,DJ Augustin,"$7,250,000","$7,250,000"
158,De'Andre Hunter,"$7,068,360","$7,068,360"
159,Josh Jackson,"$7,059,480","$7,059,480"
160,Ersan Ilyasova,"$7,000,000","$7,000,000"
160,Davis Bertans,"$7,000,000","$7,000,000"
162,Jaren Jackson,"$6,927,480","$6,927,480"
163,Nemanja Bjelica,"$6,825,000","$6,825,000"
164,Jaylen Brown,"$6,534,829","$6,534,829"
165,Jabari Parker,"$6,500,000","$6,500,000"
166,Ivica Zubac,"$6,481,482","$6,481,482"
167,Darius Garland,"$6,400,920","$6,400,920"
168,De'Aaron Fox,"$6,392,760","$6,392,760"
169,Trae Young,"$6,273,000","$6,273,000"
170,Montrezl Harrell,"$6,000,000","$6,000,000"
170,Ishmael Smith,"$6,000,000","$6,000,000"
172,Marco Belinelli,"$5,846,154","$5,846,154"
173,Jarrett Culver,"$5,813,640","$5,813,640"
174,Jonathan Isaac,"$5,806,440","$5,806,440"
175,Rodney Hood,"$5,718,000","$5,718,000"
176,Mo Bamba,"$5,697,600","$5,697,600"
177,Trey Lyles,"$5,500,000","$5,500,000"
178,Aron Baynes,"$5,453,280","$5,453,280"
179,Kris Dunn,"$5,348,007","$5,348,007"
180,Coby White,"$5,307,120","$5,307,120"
181,Lauri Markkanen,"$5,300,400","$5,300,400"
182,Wendell Carter,"$5,201,400","$5,201,400"
183,Daniel Theis,"$5,000,000","$5,000,000"
184,Jaxson Hayes,"$4,862,040","$4,862,040"
185,Buddy Hield,"$4,861,207","$4,861,207"
186,Frank Ntilikina,"$4,855,800","$4,855,800"
187,Rodney McGruder,"$4,807,693","$4,807,693"
188,Enes Kanter,"$4,767,000","$4,767,000"
188,Garrett Temple,"$4,767,000","$4,767,000"
188,Justin Holiday,"$4,767,000","$4,767,000"
188,JaMychal Green,"$4,767,000","$4,767,000"
188,Avery Bradley,"$4,767,000","$4,767,000"
188,Robin Lopez,"$4,767,000","$4,767,000"
188,Mike Scott,"$4,767,000","$4,767,000"
188,Frank Kaminsky,"$4,767,000","$4,767,000"
